ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57030407	57028918	57028993	57030346	57030407	0	1104,867,1064	0,0,0	929,953,900	0,0,1	1402	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.969	0.01
1	"ENSMUSG00000035818"	"Plekhs1"	chr19	+	56468233	56469560	56468233	56468440	56469458	56469560	1	34,11,7	1,0,1	18,20,27	1,1,0	1067	49	1	1.0	0.61,1.0,0.243	0.453,0.479,1.0	-0.026
5	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	5	203,240,148	0,1,0	175,183,188	0,0,0	2179	49	1	1.0	1.0,0.844,1.0	1.0,1.0,1.0	-0.052
6	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46294721	46294965	46294721	46294803	46294924	46294965	6	9,7,5	59,32,43	11,14,6	54,48,51	170	49	0.364692072282	0.8992188468383913	0.042,0.059,0.032	0.055,0.078,0.033	-0.011
7	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46297303	46297735	46297303	46297513	46297593	46297735	7	1,1,5	35,24,25	2,1,0	39,47,35	129	49	0.351047237114	0.8836345506490998	0.011,0.016,0.071	0.019,0.008,0.0	0.024
9	"ENSMUSG00000025220"	"Oga"	chr19	-	45765325	45767123	45765325	45765456	45767025	45767123	9	1257,787,1042	180,133,165	1565,1346,1376	170,175,155	1618	49	0.00664807339281	0.1170354254308953	0.175,0.152,0.161	0.218,0.189,0.212	-0.044
12	"ENSMUSG00000037578"	"Pkd2l1"	chr19	-	44140471	44140901	44140471	44140593	44140802	44140901	12	0,0,0	1,0,2	1,2,1	0,2,1	258	49	1	1.0	0.0,NA,0.0	1.0,0.16,0.16	-0.44
13	"ENSMUSG00000025188"	"Hps1"	chr19	-	42744696	42746345	42744696	42744779	42746231	42746345	13	474,292,424	22,19,17	713,724,669	17,12,21	1501	49	0.00229457540907	0.06055601029026745	0.413,0.334,0.449	0.578,0.663,0.51	-0.185
14	"ENSMUSG00000025159"	"Mms19"	chr19	-	41934171	41935542	41934171	41934254	41935355	41935542	14	635,581,772	81,59,90	664,723,710	103,81,73	1150	49	0.652245474378	1.0	0.25,0.296,0.268	0.215,0.276,0.293	0.01
15	"ENSMUSG00000025159"	"Mms19"	chr19	-	41937893	41938276	41937893	41938020	41938207	41938276	15	89,82,118	42,33,57	102,74,98	62,52,37	236	49	0.314758692842	0.8609351128909116	0.306,0.34,0.301	0.255,0.228,0.355	0.036
17	"ENSMUSG00000056078"	"Lipm"	chr19	+	34089308	34090394	34089308	34089507	34090284	34090394	17	18,8,17	0,1,2	17,17,33	2,1,2	826	49	0.817640660658	1.0	1.0,0.322,0.335	0.335,0.502,0.495	0.108
19	"ENSMUSG00000024725"	"Ostf1"	chr19	-	18562005	18563989	18562005	18562107	18563910	18563989	19	358,175,213	220,157,166	304,272,264	219,255,231	1852	49	0.292197675162	0.8457958412144269	0.041,0.029,0.033	0.035,0.027,0.029	0.004
23	"ENSMUSG00000024695"	"Zfp91"	chr19	-	12753358	12753826	12753358	12753437	12753775	12753826	23	68,50,46	119,197,147	72,53,57	169,148,156	387	49	0.630322209753	1.0	0.067,0.031,0.038	0.051,0.043,0.044	-0.001
28	"ENSMUSG00000036098"	"Myrf"	chr19	-	10193105	10193513	10193105	10193174	10193424	10193513	28	1,1,0	0,0,0	0,0,0	0,1,0	299	49	1	1.0	1.0,1.0,NA	NA,0.0,NA	1.0
29	"ENSMUSG00000036372"	"Tmem258"	chr19	+	10183787	10184664	10183787	10183897	10184527	10184664	29	224,219,272	429,438,454	235,281,247	385,415,423	679	49	0.178086504142	0.6853508669095016	0.036,0.035,0.041	0.042,0.047,0.04	-0.006
30	"ENSMUSG00000024664"	"Fads3"	chr19	+	10031383	10031713	10031383	10031485	10031590	10031713	30	1,0,0	1,0,1	3,1,1	2,2,6	154	49	1	1.0	0.241,NA,0.0	0.323,0.137,0.05	-0.05
32	"ENSMUSG00000024661"	"Fth1"	chr19	+	9961544	9962049	9961544	9961691	9961923	9962049	32	240,294,225	2410,2566,2074	283,266,335	2500,2795,2668	281	49	0.790722586197	1.0	0.017,0.02,0.019	0.019,0.016,0.021	0.0
33	"ENSMUSG00000024660"	"Incenp"	chr19	-	9855040	9855612	9855040	9855160	9855491	9855612	33	276,268,299	226,299,226	273,203,224	205,195,223	380	49	0.9488790408	1.0	0.136,0.104,0.146	0.147,0.118,0.115	0.002
34	"ENSMUSG00000071646"	"Mta2"	chr19	+	8923630	8924114	8923630	8923748	8924011	8924114	34	389,334,377	310,372,348	401,393,400	311,343,299	312	49	0.117909750263	0.5572977581014489	0.165,0.124,0.145	0.168,0.153,0.174	-0.02
