ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57030346	57030407	57030346	57030403	57031428	57031493	2	596,517,509	6,7,6	516,502,540	2,8,9	53	49	0.93502526996	1.0	0.989,0.986,0.987	0.996,0.983,0.982	0.0
3	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035503	57035356	57035497	57037893	57037941	3	21,14,12	450,376,383	16,9,18	432,408,407	55	49	0.604828265255	1.0	0.04,0.032,0.027	0.032,0.019,0.038	0.003
4	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035503	57035356	57035497	57049684	57049814	4	17,11,7	0,0,1	9,7,11	0,0,0	55	49	1	1.0	1.0,1.0,0.862	1.0,1.0,1.0	-0.046
5	"ENSMUSG00000035818"	"Plekhs1"	chr19	+	56460129	56460264	56460132	56460264	56459368	56459475	5	0,0,0	3,1,2	1,0,1	1,2,1	52	49	1	1.0	0.0,0.0,0.0	0.485,0.0,0.485	-0.323
6	"ENSMUSG00000035818"	"Plekhs1"	chr19	+	56462569	56462686	56462572	56462686	56461620	56461696	6	2,2,0	2,0,1	1,1,0	1,0,4	52	49	0.0188277453805	0.49929274141958857	0.485,1.0,0.0	0.485,1.0,0.0	0.0
9	"ENSMUSG00000025231"	"Sufu"	chr19	+	46441597	46441754	46441600	46441754	46439329	46439402	9	24,23,21	24,30,27	18,14,26	33,43,34	52	49	0.0790581080508	0.8456220430097781	0.485,0.419,0.423	0.339,0.235,0.419	0.111
11	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46319984	46320079	46319984	46320058	46320195	46320257	11	53,37,58	47,41,52	49,57,56	45,46,54	70	49	0.750706310333	1.0	0.441,0.387,0.438	0.433,0.464,0.421	-0.017
12	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46319984	46320112	46319984	46320058	46320195	46320257	12	185,118,148	47,41,52	144,171,173	45,46,54	103	49	0.765066283249	1.0	0.652,0.578,0.575	0.604,0.639,0.604	-0.014
13	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46319984	46320112	46319984	46320079	46320195	46320257	13	145,93,103	13,12,13	107,127,128	12,13,11	82	49	0.650061622724	1.0	0.87,0.822,0.826	0.842,0.854,0.874	-0.017
14	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46321056	46321140	46321056	46321137	46326751	46327141	14	53,31,34	10,4,8	33,38,42	6,9,9	52	49	0.681662667612	1.0	0.833,0.88,0.8	0.838,0.799,0.815	0.02
15	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46326751	46326859	46326751	46326850	46326958	46327069	15	3,7,9	0,0,0	8,10,12	0,0,1	58	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.91	0.03
16	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46326751	46326869	46326751	46326850	46326958	46327069	16	14,18,11	0,0,0	22,23,18	0,0,1	68	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.928	0.024
17	"ENSMUSG00000036748"	"Cuedc2"	chr19	-	46326751	46326869	46326751	46326859	46326958	46327069	17	13,12,4	2,1,2	14,14,9	0,1,3	59	49	0.432550903515	1.0	0.844,0.909,0.624	1.0,0.921,0.714	-0.086
18	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46256829	46256955	46256858	46256955	46256431	46256555	18	41,52,67	1,0,1	56,59,74	1,0,3	78	49	0.408253027164	1.0	0.963,1.0,0.977	0.972,1.0,0.939	0.01
19	"ENSMUSG00000025220"	"Oga"	chr19	-	45765325	45767123	45765325	45765456	45767470	45767522	19	1696,1113,1440	0,0,0	2014,1796,1772	0,0,1	1716	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.981	0.006
22	"ENSMUSG00000040913"	"Fbxw4"	chr19	-	45567559	45567701	45567559	45567646	45568091	45568232	22	68,39,51	2,2,2	52,76,61	2,3,2	104	49	0.943225515106	1.0	0.941,0.902,0.923	0.925,0.923,0.935	-0.006
25	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44120524	44120603	44120524	44120587	44121438	44121523	25	46,59,35	1,10,8	28,45,40	4,5,5	65	49	0.780770576277	1.0	0.972,0.816,0.767	0.841,0.872,0.858	-0.005
26	"ENSMUSG00000025193"	"Cutc"	chr19	+	43751311	43751445	43751341	43751445	43749127	43749163	26	19,18,18	2,2,1	31,27,19	2,1,2	79	49	0.732192605747	1.0	0.855,0.848,0.918	0.906,0.944,0.855	-0.028
