ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57030407	57028918	57028993	57030346	57030407	0	94,86,82	0,0,0	76,72,69	0,0,1	98	49	1	1.0	1.0,1.0,1.0	1.0,1.0,0.972	0.009
1	"ENSMUSG00000035818"	"Plekhs1"	chr19	+	56468233	56469560	56468233	56468440	56469458	56469560	1	1,2,0	1,0,1	0,1,4	1,1,0	98	49	0.530456460881	1.0	0.333,1.0,0.0	0.0,0.333,1.0	0.0
5	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	5	7,15,5	0,1,0	9,13,4	0,0,0	98	49	1	1.0	1.0,0.882,1.0	1.0,1.0,1.0	-0.039
6	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46294721	46294965	46294721	46294803	46294924	46294965	6	6,4,3	59,32,43	9,8,5	54,48,51	98	49	0.221321710429	0.8346243016483077	0.048,0.059,0.034	0.077,0.077,0.047	-0.02
7	"ENSMUSG00000025225"	"Nfkb2"	chr19	+	46297303	46297735	46297303	46297513	46297593	46297735	7	0,1,4	35,24,25	2,1,0	39,47,35	98	49	0.501042161201	1.0	0.0,0.02,0.074	0.025,0.011,0.0	0.019
9	"ENSMUSG00000025220"	"Oga"	chr19	-	45765325	45767123	45765325	45765456	45767025	45767123	9	83,56,59	180,133,165	80,80,62	170,175,155	98	49	0.619686706468	1.0	0.187,0.174,0.152	0.19,0.186,0.167	-0.01
12	"ENSMUSG00000037578"	"Pkd2l1"	chr19	-	44140471	44140901	44140471	44140593	44140802	44140901	12	0,0,0	1,0,2	1,0,0	0,2,1	98	49	1	1.0	0.0,NA,0.0	1.0,0.0,0.0	-0.333
13	"ENSMUSG00000025188"	"Hps1"	chr19	-	42744696	42746345	42744696	42744779	42746231	42746345	13	26,10,20	22,19,17	45,47,43	17,12,21	98	49	0.000418326829714	0.030301412969718434	0.371,0.208,0.37	0.57,0.662,0.506	-0.263
14	"ENSMUSG00000025159"	"Mms19"	chr19	-	41934171	41935542	41934171	41934254	41935355	41935542	14	67,66,87	81,59,90	74,73,77	103,81,73	98	49	0.56007940449	1.0	0.293,0.359,0.326	0.264,0.311,0.345	0.019
15	"ENSMUSG00000025159"	"Mms19"	chr19	-	41937893	41938276	41937893	41938020	41938207	41938276	15	44,42,56	42,33,57	47,37,47	62,52,37	98	49	0.305096435651	0.9079014827423539	0.344,0.389,0.329	0.275,0.262,0.388	0.046
17	"ENSMUSG00000056078"	"Lipm"	chr19	+	34089308	34090394	34089308	34089507	34090284	34090394	17	1,1,1	0,1,2	2,2,1	2,1,2	98	49	0.25462494407	0.8591510323083846	1.0,0.333,0.2	0.333,0.5,0.2	0.167
19	"ENSMUSG00000024725"	"Ostf1"	chr19	-	18562005	18563989	18562005	18562107	18563910	18563989	19	13,7,6	220,157,166	24,26,19	219,255,231	98	49	0.00162070683239	0.07941463478711	0.029,0.022,0.018	0.052,0.049,0.04	-0.024
23	"ENSMUSG00000024695"	"Zfp91"	chr19	-	12753358	12753826	12753358	12753437	12753775	12753826	23	29,22,15	119,197,147	23,22,27	169,148,156	98	49	0.760055003572	1.0	0.109,0.053,0.049	0.064,0.069,0.08	-0.001
28	"ENSMUSG00000036098"	"Myrf"	chr19	-	10193105	10193513	10193105	10193174	10193424	10193513	28	1,0,0	0,0,0	0,0,0	0,1,0	98	49	1	1.0	1.0,NA,NA	NA,0.0,NA	1.0
29	"ENSMUSG00000036372"	"Tmem258"	chr19	+	10183787	10184664	10183787	10183897	10184527	10184664	29	33,34,32	429,438,454	35,36,35	385,415,423	98	49	0.389642148708	0.963836406455127	0.037,0.037,0.034	0.043,0.042,0.04	-0.006
30	"ENSMUSG00000024664"	"Fads3"	chr19	+	10031383	10031713	10031383	10031485	10031590	10031713	30	1,0,0	1,0,1	2,1,1	2,2,6	98	49	1	1.0	0.333,NA,0.0	0.333,0.2,0.077	-0.037
32	"ENSMUSG00000024661"	"Fth1"	chr19	+	9961544	9962049	9961544	9961691	9961923	9962049	32	171,228,163	2410,2566,2074	210,209,256	2500,2795,2668	98	49	0.53821076419	1.0	0.034,0.043,0.038	0.04,0.036,0.046	-0.002
33	"ENSMUSG00000024660"	"Incenp"	chr19	-	9855040	9855612	9855040	9855160	9855491	9855612	33	91,82,85	226,299,226	78,73,76	205,195,223	98	49	0.697197922197	1.0	0.168,0.121,0.158	0.16,0.158,0.146	-0.006
34	"ENSMUSG00000071646"	"Mta2"	chr19	+	8923630	8924114	8923630	8923748	8924011	8924114	34	131,118,123	310,372,348	116,106,150	311,343,299	98	49	0.539423776322	1.0	0.174,0.137,0.15	0.157,0.134,0.201	-0.01
