ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60201104	60201194	0	23,39,24	2,0,0	27,25,21	0,0,0	98	49	1	1.0	0.852,1.0,1.0	1.0,1.0,1.0	-0.049
1	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60208471	60208571	1	20,38,23	1,2,0	25,28,22	0,0,0	98	49	0.400343099327	1.0	0.909,0.905,1.0	1.0,1.0,1.0	-0.062
2	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60214663	60215129	60215075	60215129	60209485	60209736	2	27,51,37	5,5,8	30,37,27	5,5,4	98	49	0.990943403649	1.0	0.73,0.836,0.698	0.75,0.787,0.771	-0.015
3	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57030407	57030346	57030407	57027838	57027919	3	305,234,285	0,1,1	223,224,224	0,0,0	98	49	1	1.0	1.0,0.992,0.993	1.0,1.0,1.0	-0.005
7	"ENSMUSG00000003559"	"As3mt"	chr19	+	46697985	46698122	46697985	46698100	46700659	46700729	7	92,86,74	1,4,4	59,78,88	1,7,2	71	49	0.738974821078	1.0	0.984,0.937,0.927	0.976,0.885,0.968	0.006
9	"ENSMUSG00000025224"	"Gbf1"	chr19	+	46268976	46269182	46268976	46269170	46271473	46271624	9	28,22,26	26,33,29	23,31,20	31,30,21	61	49	0.854454286802	1.0	0.464,0.349,0.419	0.373,0.454,0.433	-0.009
12	"ENSMUSG00000036097"	"Slf2"	chr19	+	44929897	44931378	44929897	44930865	44931887	44931958	12	0,0,1	50,55,51	0,0,2	43,42,39	98	49	1	1.0	0.0,0.0,0.01	0.0,0.0,0.025	-0.005
14	"ENSMUSG00000025200"	"Cwf19l1"	chr19	-	44115804	44115923	44115855	44115923	44113246	44113331	14	41,51,35	0,1,0	30,36,43	1,0,0	98	49	1	1.0	1.0,0.962,1.0	0.937,1.0,1.0	0.008
15	"ENSMUSG00000025188"	"Hps1"	chr19	-	42755124	42755272	42755148	42755272	42754351	42754421	15	2,3,2	0,0,0	3,5,1	1,0,1	73	49	1	1.0	1.0,1.0,1.0	0.668,1.0,0.402	0.31
16	"ENSMUSG00000025188"	"Hps1"	chr19	-	42755124	42755272	42755148	42755272	42754568	42754655	16	13,13,7	8,17,12	18,22,11	21,14,15	73	49	0.71954054214	1.0	0.522,0.339,0.281	0.365,0.513,0.33	-0.022
