ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000033417"	"Cacul1"	chr19	-	60522573	60522712	60531447	60531550	60517902	60517946	60551599	60551702	0	0,1,0	88,115,69	0,0,0	95,86,97	98	98	1	1.0	0.0,0.009,0.0	0.0,0.0,0.0	0.003
1	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60208471	60208571	60213296	60213331	60201104	60201194	60215075	60215133	1	0,0,1	75,79,69	0,1,0	71,77,78	84	98	1	1.0	0.0,0.0,0.017	0.0,0.015,0.0	0.001
2	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60208761	60208792	60209485	60209736	60208471	60208571	60214663	60215109	2	8,14,14	43,41,53	5,13,6	47,48,43	98	80	0.146893453299	1.0	0.132,0.218,0.177	0.08,0.181,0.102	0.055
3	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57028993	57029846	57029854	57027838	57027919	57030346	57030407	3	74,54,58	271,212,262	62,57,62	196,204,209	57	98	0.222544816809	1.0	0.319,0.305,0.276	0.352,0.325,0.338	-0.038
4	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035497	57036798	57036865	57033312	57033404	57037893	57037941	4	3,9,2	832,678,729	4,2,6	823,770,748	98	98	1	1.0	0.004,0.013,0.003	0.005,0.003,0.008	0.001
5	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035503	57036798	57036865	57033312	57033404	57037893	57037941	5	3,9,2	387,306,351	4,2,6	398,364,348	98	98	0.75932418756	1.0	0.008,0.029,0.006	0.01,0.005,0.017	0.004
7	"ENSMUSG00000024982"	"Zdhhc6"	chr19	-	55287126	55287320	55290989	55291036	55278017	55278116	55291122	55291268	7	63,57,62	1,6,0	67,71,61	2,0,0	96	98	0.174762873391	1.0	0.985,0.907,1.0	0.972,1.0,1.0	-0.027
8	"ENSMUSG00000024975"	"Pdcd4"	chr19	+	53908045	53908267	53909648	53909746	53901242	53901356	53910447	53910562	8	423,421,493	210,202,208	529,519,546	234,261,265	98	98	0.808599256824	1.0	0.668,0.676,0.703	0.693,0.665,0.673	0.005
9	"ENSMUSG00000024975"	"Pdcd4"	chr19	+	53914636	53914744	53914965	53915076	53910447	53910562	53915624	53915764	9	281,237,302	340,319,340	290,324,349	402,390,422	98	98	0.754112243301	1.0	0.452,0.426,0.47	0.419,0.454,0.453	0.007
10	"ENSMUSG00000024975"	"Pdcd4"	chr19	+	53914965	53915076	53915624	53915764	53914636	53914744	53917513	53917623	10	369,330,385	319,330,350	387,440,480	365,389,421	98	98	0.813649677794	1.0	0.536,0.5,0.524	0.515,0.531,0.533	-0.006
11	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46893413	46893531	46912700	46912774	46892316	46892412	46939284	46939404	11	102,133,109	147,177,114	109,115,113	139,139,138	98	98	0.842258849986	1.0	0.41,0.429,0.489	0.44,0.453,0.45	-0.005
12	"ENSMUSG00000025041"	"Nt5c2"	chr19	-	46912700	46912774	46939284	46939404	46893413	46893531	46950710	46950747	12	103,115,92	117,150,89	120,113,97	110,110,106	98	98	0.297272396859	1.0	0.468,0.434,0.508	0.522,0.507,0.478	-0.032
13	"ENSMUSG00000025221"	"Kcnip2"	chr19	-	45782918	45783026	45783178	45783249	45782637	45782742	45783416	45783486	13	9,8,6	9,0,3	4,10,10	6,5,4	98	98	0.428212455119	1.0	0.5,1.0,0.667	0.4,0.667,0.714	0.129
14	"ENSMUSG00000025220"	"Oga"	chr19	-	45762100	45762199	45764486	45764658	45760120	45760405	45765325	45765456	14	169,121,175	207,154,214	178,175,187	228,205,185	98	98	0.498413467062	1.0	0.449,0.44,0.45	0.438,0.461,0.503	-0.021
15	"ENSMUSG00000036097"	"Slf2"	chr19	+	44947443	44947519	44949172	44949314	44940507	44940610	44955405	44955508	15	62,76,59	54,66,53	68,53,57	49,42,58	98	98	0.779267133675	1.0	0.534,0.535,0.527	0.581,0.558,0.496	-0.013
