ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000033417"	"Cacul1"	chr19	-	60522573	60522712	60531447	60531550	60517902	60517946	60551599	60551702	0	77,93,73	293,364,223	87,86,77	288,292,297	152	188	0.84722810603	1.0	0.245,0.24,0.288	0.272,0.267,0.243	-0.003
1	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60208471	60208571	60213296	60213331	60201104	60201194	60215075	60215133	1	0,0,1	169,162,168	0,1,0	163,175,156	84	149	1	1.0	0.0,0.0,0.01	0.0,0.01,0.0	0.0
2	"ENSMUSG00000057858"	"Fam204a"	chr19	-	60208761	60208792	60209485	60209736	60208471	60208571	60214663	60215109	2	253,293,384	43,41,53	283,344,295	47,48,43	300	80	0.929897959283	1.0	0.611,0.656,0.659	0.616,0.656,0.647	0.002
3	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57028918	57028993	57029846	57029854	57027838	57027919	57030346	57030407	3	74,54,58	528,422,492	62,57,62	427,433,433	57	124	0.550753707273	1.0	0.234,0.218,0.204	0.24,0.223,0.238	-0.015
4	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035497	57036798	57036865	57033312	57033404	57037893	57037941	4	25,26,26	1925,1524,1747	23,30,27	1842,1843,1758	116	190	0.986413855339	1.0	0.021,0.027,0.024	0.02,0.026,0.025	0.0
5	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57035356	57035503	57036798	57036865	57033312	57033404	57037893	57037941	5	25,26,26	1496,1162,1376	23,30,27	1426,1444,1369	116	196	0.963932842832	1.0	0.027,0.036,0.031	0.027,0.034,0.032	0.0
6	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57062286	57062334	57065845	57065929	57057291	57057369	57068244	57068303	6	0,0,0	1,1,1	1,0,1	1,0,0	133	97	1	1.0	0.0,0.0,0.0	0.422,NA,1.0	-0.711
7	"ENSMUSG00000024982"	"Zdhhc6"	chr19	-	55287126	55287320	55290989	55291036	55278017	55278116	55291122	55291268	7	63,57,62	185,230,207	67,71,61	216,227,232	96	243	0.970624268899	1.0	0.463,0.385,0.431	0.44,0.442,0.4	-0.001
8	"ENSMUSG00000024975"	"Pdcd4"	chr19	+	53908045	53908267	53909648	53909746	53901242	53901356	53910447	53910562	8	1806,1739,2041	500,520,548	2145,2198,2239	563,669,680	271	147	0.740476180848	1.0	0.662,0.645,0.669	0.674,0.641,0.641	0.007
9	"ENSMUSG00000024975"	"Pdcd4"	chr19	+	53914636	53914744	53914965	53915076	53910447	53910562	53915624	53915764	9	824,754,948	733,766,819	943,1014,1125	907,954,994	157	160	0.930378946153	1.0	0.534,0.501,0.541	0.514,0.52,0.536	0.002
